alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud,cluster_perfil,consumo_esperado,exceso_consumo,es_anomalia,anomalia_score,diagnostico_final,poblacion_equivalente
CUAJIMALPA,EL CONTADERO,3.4619030196553715,Habitacional/Corporativo,1,110574.85,94327.39,13497.26,3.0,221149.7,7861.0,14.066257473603867,28.1325,2270.716410993672,151.0,0.0,151.0,True,0.82779633998871,Medio,19.3451031159,-99.2985991907,1,330640.7328210926,-220065.8828210926,1,0.04733926045093084,DEFICIENCIA (Posible Baja Presión o Desabasto),0
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),2.784315080877113,Habitacional/Rural,0,98127.39,60536.68,16561.77,3.0,196254.78,22662.0,4.330041037860736,8.6601,8139.165051988668,329.0,0.0,329.0,True,0.7389497756958,Bajo,19.2514202173,-99.007731405,3,193546.2880780755,-95418.89807807551,1,0.1017883698103429,DEFICIENCIA (Posible Baja Presión o Desabasto),0
TLAHUAC,LAS ARBOLEDAS,0.5965304269424156,Habitacional/Rural,0,80191.62,64553.8,8935.69,3.0,160383.24,11548.0,6.94419986144787,13.8884,19358.610187229817,212.0,0.0,212.0,True,0.81659340858459,Medio,19.3051539637,-99.0588847109,3,123351.31885340626,-43159.69885340627,1,0.04526791856759743,DEFICIENCIA (Posible Baja Presión o Desabasto),0
TLAHUAC,UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,0.5314228613774901,Habitacional/Rural,0,49815.37,44432.58,3491.21,3.0,99630.74,12885.0,3.8661521148622433,7.7323,24246.22826086379,143.0,0.0,143.0,True,0.81444555521011,Medio,19.3025510161,-99.050322163,3,113280.14873056175,-63464.778730561746,1,0.00034435243411323757,DEFICIENCIA (Posible Baja Presión o Desabasto),0
TLAHUAC,MIGUEL HIDALGO,0.6997348758410757,Habitacional/Rural,0,46463.57,32811.69,6461.58,3.0,92927.14,10411.0,4.462930554221496,8.9259,14878.49235395915,151.0,0.0,151.0,True,0.76421058177948,Bajo,19.2986040683,-99.0495000838,3,127544.39006074778,-81080.82006074779,1,0.09046443461911863,DEFICIENCIA (Posible Baja Presión o Desabasto),0
CUAUHTEMOC,DOCTORES IV,0.693519047377668,Comercial/Servicios,1,761460.58,172953.26,549868.32,3.0,1522921.16,8224.0,92.59005107003892,185.1801,11858.362118670802,247.0,0.0,247.0,True,0.83932733535767,Medio,19.4154265967,-99.1505590778,1,314244.59327569685,447215.9867243031,1,0.005018195104255385,NORMAL,1339
CUAUHTEMOC,CUAUHTEMOC,1.2356000008321135,Comercial/Servicios,1,750166.45,324022.41,361931.99,3.0,1500332.9,10591.0,70.8305589651591,141.6611,8571.544183285449,509.0,0.0,509.0,True,0.95580095052719,Muy alto,19.4256455656,-99.1758124073,1,344650.9704180401,405515.47958195984,1,0.05706542440128265,NORMAL,1214
BENITO JUAREZ,NAPOLES,0.9047545364166124,Habitacional/Comercial,1,710590.24,441300.44,234159.7,3.0,1421180.48,15648.0,45.41093047034765,90.8219,17295.298746968165,316.0,0.0,316.0,True,0.96561563014984,Muy alto,19.3891188034,-99.179234009,1,341096.8050380097,369493.4349619903,1,0.053853312210746684,NORMAL,1106
CUAUHTEMOC,CENTRO VIII,1.1446375371262654,Comercial/Servicios,1,699272.53,220500.15,382838.12,3.0,1398545.06,9318.0,75.0453455677184,150.0907,8140.568256562538,76.0,0.0,76.0,True,0.84578329324722,Medio,19.4269282643,-99.15192679,1,330112.2666011815,369160.26339881856,1,0.0722322233850547,NORMAL,1105
MIGUEL HIDALGO,GRANADA,0.9775728099318132,Habitacional/Comercial,1,687067.58,261379.47,417265.56,3.0,1374135.16,7924.0,86.70716557294296,173.4143,8105.790095115993,17.0,0.0,17.0,True,0.9335013628006,Alto,19.4400484095,-99.190859047,1,333123.9438403917,353943.63615960826,1,0.08032110744458415,NORMAL,1060
ALVARO OBREGON,JARDINES DEL PEDREGAL,5.859860491367216,Habitacional/Comercial,1,652454.59,541750.2,107271.9,3.0,1304909.18,12403.0,52.60457873095218,105.2092,2116.603290858576,1052.0,0.0,1052.0,True,0.9699849486351,Muy alto,19.3083590438,-99.2128149069,1,354493.06695600355,297961.5230439964,1,0.0734429810065832,NORMAL,892
