alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud
MAGDALENA CONTRERAS,LA CONCEPCION,0.21988641846878978,Habitacional/Reserva,0,25948.800000000003,944.95,24968.050000000003,3.0,51897.6,1816.0,14.28898678414097,28.578,8258.809310033666,26.0,0.0,26.0,True,0.79886746406555,Medio,19.3047845285,-99.233656368
MAGDALENA CONTRERAS,SAN BARTOLO AMEYALCO,0.1673886910952569,Habitacional/Reserva,0,16942.57,14534.84,413.02,3.0,33885.14,4630.0,3.659302375809935,7.3186,27660.172080353852,3.0,0.0,3.0,True,0.78263282775879,Bajo,19.3268001139,-99.2439437706
MAGDALENA CONTRERAS,LA MAGDALENA ATLITIC (PBLO),0.3256927670485293,Habitacional/Reserva,0,16362.69,14266.95,1299.8899999999999,3.0,32725.38,3311.0,4.941917849592269,9.8838,10166.02250643979,7.0,0.0,7.0,True,0.79886263608933,Medio,19.3038606755,-99.2446799602
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),4.582359439731846,Rural/Reserva,0,13479.1,3354.77,7642.66,3.0,26958.2,9822.0,1.3723376094481776,2.7447,2143.4372683289052,15.0,0.0,15.0,True,0.60523009300232,Muy bajo,19.198482692,-99.0501902979
MILPA ALTA,SAN BARTOLOME XICOMULCO (PBLO),1.8771475518312761,Rural/Reserva,0,10565.34,7316.55,1410.1599999999999,3.0,21130.68,4334.0,2.4377803414859254,4.8756,2308.822231780293,4.0,0.0,4.0,True,0.69193661212921,Muy bajo,19.2064748585,-99.0692109174
MILPA ALTA,SAN FRANCISCO TECOXPA (PBLO),2.1218658906732117,Rural/Reserva,0,3275.28,293.59000000000003,2768.38,3.0,6550.56,5329.0,0.6146143741790205,1.2292,2511.468808384139,14.0,0.0,14.0,True,0.6485430598259,Muy bajo,19.2010541328,-99.0091771631
MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),4.760036348349738,Rural/Reserva,0,2920.61,669.15,1431.12,3.0,5841.22,11572.0,0.25238593155893535,0.5048,2431.0738727892085,2.0,0.0,2.0,True,0.67981112003326,Muy bajo,19.1755078978,-98.9981220075
MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),2.9290904065966585,Rural/Reserva,0,2920.61,0.0,0.0,0.0,0.0,18407.0,0.1586684413538328,0.0,6284.20343685714,0.0,0.0,0.0,False,0.68255680799484,Muy bajo,,
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),4.543997103777812,Rural/Reserva,0,2836.16,850.42,1492.05,3.0,5672.32,15772.0,0.17982247020035505,0.3596,3470.952916516472,4.0,0.0,4.0,True,0.67252886295319,Muy bajo,19.1923565384,-99.0908197799
MILPA ALTA,SAN LORENZO TLACOYUCAN (PBLO),2.9290904065966585,Rural/Reserva,0,1180.6299999999999,0.0,1037.82,3.0,2361.26,4089.0,0.28873318659819025,0.5775,1395.9965150925652,0.0,0.0,0.0,False,0.59568250179291,Muy bajo,19.175442285,-99.0326115759
